,Municipios,Eleccion1,Votos depositados,Votos Validos,PLC,AFSLN,YATAMA,ALN,APRE,APLI,Municipio,Winner
0,BOACO,ALCALDE Y VICEALCALDE,19911,19020,1704,14810,0,872,832,802,Boaco,AFSLN
1,CAMOAPA,ALCALDE Y VICEALCALDE,13542,13016,3295,8098,0,583,524,516,Camoapa,AFSLN
2,SAN JOSE DE LOS REMATES,ALCALDE Y VICEALCALDE,4300,4080,1613,2030,0,149,132,156,San José de Los Remates,AFSLN
3,SAN LORENZO,ALCALDE Y VICEALCALDE,9005,8856,745,7223,0,272,312,304,San Lorenzo,AFSLN
4,SANTA LUCIA,ALCALDE Y VICEALCALDE,2597,2537,382,2021,0,20,97,17,Santa Lucía,AFSLN
5,TEUSTEPE,ALCALDE Y VICEALCALDE,9654,9451,948,7396,0,379,371,357,Teustepe,AFSLN
6,BOACO,CONCEJALES MUNICIPALES,19911,19020,1234,16127,0,672,581,406,Boaco,AFSLN
7,CAMOAPA,CONCEJALES MUNICIPALES,13542,13016,2452,9482,0,446,364,272,Camoapa,AFSLN
8,SAN JOSE DE LOS REMATES,CONCEJALES MUNICIPALES,4281,4055,1216,2553,0,109,93,84,San José de Los Remates,AFSLN
9,SAN LORENZO,CONCEJALES MUNICIPALES,9005,8854,541,7722,0,208,219,164,San Lorenzo,AFSLN
10,SANTA LUCIA,CONCEJALES MUNICIPALES,2599,2539,286,2160,0,17,68,8,Santa Lucía,AFSLN
11,TEUSTEPE,CONCEJALES MUNICIPALES,9657,9452,688,8029,0,289,262,184,Teustepe,AFSLN
12,DIRIAMBA,ALCALDE Y VICEALCALDE,27156,26056,2349,20432,0,1150,1103,1022,Diriamba,AFSLN
13,DOLORES,ALCALDE Y VICEALCALDE,3438,3268,417,2530,0,167,0,154,Dolores,AFSLN
14,EL ROSARIO,ALCALDE Y VICEALCALDE,3919,3851,211,3319,0,170,0,151,El Rosario,AFSLN
15,JINOTEPE,ALCALDE Y VICEALCALDE,19212,18440,1556,14450,0,894,779,761,Jinotepe,AFSLN
16,LA CONQUISTA,ALCALDE Y VICEALCALDE,2400,2334,116,1447,0,613,79,79,La Conquista,AFSLN
17,LA PAZ DE CARAZO,ALCALDE Y VICEALCALDE,3252,3114,167,2703,0,129,0,115,La Paz de Carazo,AFSLN
18,SAN MARCOS,ALCALDE Y VICEALCALDE,15946,15143,1045,12053,0,726,678,641,San Marcos,AFSLN
19,SANTA TERESA,ALCALDE Y VICEALCALDE,5924,5593,724,4563,0,306,0,0,Santa Teresa,AFSLN
20,DIRIAMBA,CONCEJALES MUNICIPALES,27138,26058,1716,22163,0,881,782,516,Diriamba,AFSLN
21,DOLORES,CONCEJALES MUNICIPALES,3438,3268,298,2766,0,127,0,77,Dolores,AFSLN
22,EL ROSARIO,CONCEJALES MUNICIPALES,3919,3851,149,3495,0,129,0,78,El Rosario,AFSLN
23,JINOTEPE,CONCEJALES MUNICIPALES,19212,18436,1119,15695,0,685,550,387,Jinotepe,AFSLN
24,LA CONQUISTA,CONCEJALES MUNICIPALES,2400,2334,87,1662,0,494,53,38,La Conquista,AFSLN
25,LA PAZ DE CARAZO,CONCEJALES MUNICIPALES,3252,3114,122,2831,0,101,0,60,La Paz de Carazo,AFSLN
26,SAN MARCOS,CONCEJALES MUNICIPALES,15946,15143,752,13047,0,551,474,319,San Marcos,AFSLN
